Timepoint,Enhancer,Coding gene,Image number,Nucleus number,Enhancer spot number,Coding gene spot,Overlapped enhancer number,
24,S+AS,PDK2,2,75,0,0,0,
24,S+AS,PDK2,2,76,1,0,0,
24,S+AS,PDK2,2,77,0,1,0,
24,S+AS,PDK2,2,78,0,0,0,
24,S+AS,PDK2,2,79,0,0,0,
24,S+AS,PDK2,2,80,0,0,0,
24,S+AS,PDK2,2,81,0,0,0,
24,S+AS,PDK2,2,82,0,0,0,
24,S+AS,PDK2,2,83,0,0,0,
24,S+AS,PDK2,2,84,0,2,0,
24,S+AS,PDK2,2,85,0,1,0,
24,S+AS,PDK2,3,86,0,0,0,
24,S+AS,PDK2,3,87,0,1,0,
24,S+AS,PDK2,3,88,0,0,0,
24,S+AS,PDK2,3,89,0,1,0,
24,S+AS,PDK2,3,90,0,1,0,
24,S+AS,PDK2,3,91,0,1,0,
24,S+AS,PDK2,3,92,0,0,0,
24,S+AS,PDK2,3,93,0,2,0,
